Transaction ID,Transaction Amount,Transaction Date,Customer ID,Customer Age,Customer Gender,Transaction Type,IP Address,Transaction Currency,Fraudulent,Transaction Frequency
78bb55e3-dc56-40ab-8d22-7936b717bcfe,6394.63,2024-05-28 00:38:17,6c5e83d2-5876-4e90-aa2e-8fa81f4ce9dd,19,Female,Debit,10.103.255.222,INR,0,7
ee488271-0c42-4204-bbe7-b99fb4c87c7f,1396.24,2024-04-22 18:51:55,9b8d2032-b3e3-44e9-9aa2-01b299e86e48,24,Male,Online Transfer,3.80.145.195,INR,1,20
9dd2f6d9-83ac-4282-b91a-255c6554e0f8,318.8,2023-12-27 21:42:52,5089716d-b933-4a78-8181-b9daa00ea705,23,Male,Debit,182.27.217.175,INR,0,29
ae139aa2-b9cb-4766-bc56-477e70164eb4,5612.89,2024-11-18 12:16:43,bf204e6e-57b5-4738-b4c0-37ba5d8d2a66,63,Female,Debit,151.150.83.141,INR,1,15
b2a349da-b07d-46b7-8afb-13c3a2f2221e,5893.07,2024-02-13 11:04:27,89d5cb24-fc9f-479f-9203-a84601647ff2,69,Male,Debit,111.30.132.22,INR,1,11
35a55053-f807-4e76-9bcd-77e0eb38a266,3403.16,2024-08-28 21:25:06,32430aef-99bb-4fe5-90ab-75b3d676532f,27,Male,Credit,222.243.134.219,INR,0,8
47cc6a40-1245-4d7c-905c-ed0110505bbb,928.37,2024-08-28 05:08:36,283095e1-533b-41bd-8555-24ce418891a5,24,Female,Credit,43.65.14.214,INR,1,29
244addd2-13c5-49be-8937-e86db98f372a,8071.48,2023-11-24 22:49:15,e547c475-ab9e-41f1-990f-1bc05608fe92,64,Female,Online Transfer,32.157.170.67,INR,0,21
b2ede493-2c5c-4009-8ab0-44c729a0c2ed,9731.18,2024-07-04 19:05:08,eef35273-ca1d-49b0-a66c-69c7de2c8fb7,42,Male,Online Transfer,101.98.93.14,INR,1,7
4400c31c-a3ec-49fe-af03-7844683df21b,8294.22,2024-03-24 05:59:10,70afe14e-1816-430b-a975-d5f7f493bd6f,57,Female,Online Transfer,162.59.94.123,INR,0,26
235b53ea-0e0a-49ea-8aa5-697ce373356c,7046.01,2024-05-10 06:58:31,bc65fcef-4b40-4102-97be-9b5cc9477480,20,Male,Credit,2.143.52.155,INR,0,19
5656797a-b29a-47ec-9b9c-f2c38a89f97b,8553.32,2024-08-14 12:22:44,56259ba9-954f-4e63-bf2d-3edea166faeb,73,Male,Credit,161.212.164.145,INR,1,23
23747dd8-ff24-499b-8b2c-d6992b09072d,4534.65,2024-03-03 12:41:20,35cd6311-6773-4d60-a73d-8d9758d13eaf,71,Female,Debit,119.91.50.180,INR,1,11
468e615c-9479-49f0-8294-7a6f06955458,3553.35,2024-02-14 07:52:29,9c9caf26-eed2-44e5-b522-443a0f926737,60,Female,Online Transfer,182.34.191.78,INR,0,11
5648b603-b6c9-43ff-979f-8f9387fe8849,6091.7,2023-12-21 23:40:48,59ccc9de-ad20-443b-817e-d2fcf78d91d6,28,Male,Debit,156.79.14.250,INR,1,24
7c263992-f1ca-46d2-84e5-81b1f1103f87,3795.17,2024-08-16 02:34:11,22fa1f4a-8fe9-4c29-8530-39941e5b4d34,77,Male,Online Transfer,53.122.98.115,INR,1,21
41811b29-0bc1-4049-9304-3978be5ed858,8428.68,2024-04-16 12:20:11,180630b3-fc70-4675-adfb-b2eaa1571a90,67,Male,Debit,94.38.186.25,INR,0,4
5aa39944-0dad-45ea-84d5-fd59c8ff83b9,8050.65,2024-04-10 16:54:14,363cd266-fc4a-4faf-8c81-2a2e8ff605e6,43,Female,Debit,171.13.30.253,INR,0,8
fb87f916-2d2d-428f-98d4-70fbb8c6940b,9131.45,2024-05-04 13:23:35,a561850a-e07f-48db-b50a-1ec4ced84526,54,Female,Debit,123.148.169.183,INR,1,24
99bda534-68f5-4829-8e86-a818d283e0c1,3956.92,2024-01-20 12:10:19,70e10374-544b-424a-81b8-ad56438e25de,76,Female,Debit,180.129.21.203,INR,1,3
a9fa88fd-cbf4-4037-a894-2c36b2369f05,1397.16,2024-10-28 01:20:07,0c57332c-7dd9-4122-b8f8-b160d6362b62,65,Female,Online Transfer,71.195.176.55,INR,1,22
